,Date,tweet
0,2022-05-01 23:15:11+00:00,"Pelosi can go into a war zone to check on Ukraine, but hasn’t been able to take a plane ride down to our Southern Border all year long."
1,2022-05-01 23:00:46+00:00,"The United States is not interested in stalemates. We are not interested in going back to the status quo.

The United States is in this to win it and we will stand with Ukraine until victory is won. https://t.co/cfXQn3Njo0"
2,2022-05-01 22:44:31+00:00,"Sergei Lavrov's case for Russia's denazification of Ukraine: 

“So what if Zelensky is Jewish. The fact does not negate the Nazi elements in Ukraine. I believe that Hitler also had Jewish blood. Some of the worst antisemites are Jews.”"
3,2022-05-01 22:14:11+00:00,It’s time to tell the truth about Ukraine: the war could have been prevented. We should be focusing on America’s problems. https://t.co/g6BMIizcdt
4,2022-05-01 21:39:08+00:00,"Suspect Ukrainian high-level attacks in Russia have become standard, today:
Attack on Belgorod military airport when Gerasimov was there.
Blowing up the railway bridge in Kursk.
Explosion at Kantemirskaya tank division outside of Moscow.
Russia is starting to get what it deserves"
5,2022-05-01 21:36:08+00:00,"While Republicans are fighting Mickey Mouse and losing, Democrats went to Ukraine. I’m definitely voting for only Democrats. You should too."
6,2022-05-01 21:01:57+00:00,"8️⃣ years ago - on #May2 2014 - the Ukrainian Neo Nazis committed the #OdessaMassacre, burning dozens of people in Odessa.

Justice still not served, perpetrators roam free. 

❗ We will never forget this atrocious crime. We will work to identify and punish all those involved. https://t.co/zRdpAFWJEH"
7,2022-05-01 21:01:28+00:00,Fun Fact: More senior Democrat officials have visited Ukraine than our own southern border.
8,2022-05-01 20:44:36+00:00,"Lavrov learned about the invasion of Ukraine only hours before it started. Since then he's been desperate to justify it retrospectively. Now he's running out of ideas: this comparison of Zelensky to Hitler, ""who also had Jewish blood"" is just laughable 
https://t.co/3CdDSIjENa"
9,2022-05-01 20:40:12+00:00,"Lavrov compares Ukraine's Zelenskyy to Hitler, who also 'had Jewish blood' - Europe - https://t.co/fE9N5Ri9Al https://t.co/awhQyspvkC"
10,2022-05-01 20:22:52+00:00,Sick sick sick…”Sergei Lavrov said the fact that Ukraine's President Volodymyr Zelenskyy is Jewish does not negate the Nazi element in his country.  Lavrov said that Nazi Germany's Chancellor Adolf Hitler also ‘had Jewish blood.’” https://t.co/paTkxQzGi7
11,2022-05-01 20:14:44+00:00,"#MOSCOW: In Mytishchi, barely 30 minutes from the Kremlin, fuel oil tanks were set on fire. It is no longer humanly possible to keep track of all the fires and explosions all over #Russia. A train bridge was also successfully blown up in #Kursk, for example. #WindofChange 🌬️ 🔥 https://t.co/bEvgxoUKh0"
12,2022-05-01 20:10:06+00:00,"Russia’s Lavrov: ""Russia isn't demanding that Zelensky surrenders. He must order the military to stop fighting.” 🙃"
13,2022-05-01 19:50:47+00:00,"Meanwhile on Russian state TV: Political Scientist Dmitry Kulikov argued that Joe Biden has been trying to overthrow Putin since 2012. He claimed, Biden's plan to use Ukraine to destroy Russia might have worked—if not for Trump: ""Trump gave us those 4 years. Thank you very much."" https://t.co/sAqCzvPeC8"
14,2022-05-01 19:49:26+00:00,"Does anyone know how much of American's tax dollars have been sent to Ukraine, this year, since February 2022?"
15,2022-05-01 19:41:25+00:00,"Let’s take a look at what Russian state TV is talking about tonight...

Russia using nuclear weapons to launch a Tsunami that would wipe United Kingdom off the face of the earth.

So, nothing out of the ordinary then.  https://t.co/w1wvnflVqz"
16,2022-05-01 19:29:39+00:00,Do you really believe Nancy Pelosi cares about what’s happening in Ukraine? She doesn’t even care about the people of San Francisco.
17,2022-05-01 19:06:30+00:00,"During our meeting with @ZelenskyyUa, we discussed how the U.S. can continue to support Ukraine as it enters a new phase of the war, and how to address the ongoing humanitarian crisis.

And we quickly relayed that critical information to @POTUS.

We stand ready to deliver. https://t.co/wCOn083hc0"
18,2022-05-01 19:04:43+00:00,The open fantasizing about using nuclear weapons was totally shocking when Russia first rolled it out on state TV. Now it’s just part of the regular programming https://t.co/DAtT3IZWYK
19,2022-05-01 19:00:13+00:00,THERE SHOULD BE NO AMERICAN INVOLVEMENT IN UKRAINE
20,2022-05-01 18:55:20+00:00,"It's Sunday night in Russia which means that state TV's Dmitry Kiselyov is talking about Russia using its nukes

This time, with the help of a terrifying cartoon, he claims that ""one Sarmat missile is enough to sink the British Isles"" (with subs) https://t.co/NqbQfkm6rX"
21,2022-05-01 18:41:06+00:00,"Reports that Russian army chief General Gerasimov has been “lightly wounded” in Ukraine are sparking much speculation on Ukrainian social media - not least as many recall how Russia initially claimed its sunken flagship, the Moskva, had been “lightly damaged” https://t.co/P48a944K2H"
22,2022-05-01 18:22:42+00:00,"Heroic 'Ghost of Kyiv' fighter doesn't actually exist, Ukraine admits https://t.co/mskATgCEWS https://t.co/oIcIbvnytH"
23,2022-05-01 18:14:39+00:00,This is how Mariupol civilians emerged from under the Azovstal steel works to flee the ruined city in UN-led evacuation. 100+ women and children were evacuated and are expected to reach Ukraine-controlled Zaporizhia tomorrow morning. Video by MP David Arakhamia via Azov regiment https://t.co/JSY5GCgsWu
24,2022-05-01 18:09:25+00:00,Pelosi flew to Ukraine because U.S. foreign aid is a money laundering scam for the ruling class.
25,2022-05-01 18:08:24+00:00,"⚡️ US congressman calls on troops' deployment in Ukraine if Putin uses chemical, biological, or nuclear weapons.

Republican Congressman Adam Kinzinger introduced a resolution on May 1 to authorize U.S. President Joe Biden to send troops to Ukraine in such cases."
26,2022-05-01 17:49:11+00:00,"❗️ 80 civilians forcibly detained by Ukrainian nationalists, were rescued from Azovstal in Mariupol.

▪️ Units of the Russian Armed Forces and the people's militia of the Donetsk People's Republic opened humanitarian corridor for the safe evacuation of civilians.

📹 @mod_russia https://t.co/ph8Or9Q4Aj"
27,2022-05-01 17:32:00+00:00,"There were no babies thrown out of incubators in Kuwait, no Libyan soldiers given Viagra to rape, no WMD's in Iraq, Assad didn't use chemical weapons on his own people, we weren't winning in Afghanistan, Russia was provoked and Ukraine isn't winning

The End"
28,2022-05-01 17:30:17+00:00,"Another horror story. Liberating the occupied territories #UkrainianArmy found a dead woman, with her alive child tied to her. #RussianArmy put a mine in-between. It exploded when the child was untied.

This is what #Ukraine us up against.

#StopPutinNOW #ArmUkraineNow https://t.co/RyLH9VCzoF"
29,2022-05-01 17:27:52+00:00,"Noam Chomsky praising Trump over Russia should make everyone rethink any admiration they had for either of them, but it won’t."
30,2022-05-01 17:02:04+00:00,"The U.S. is sending $33 billion in aid to Ukraine. Meanwhile, this is Los Angeles. https://t.co/qwBI0Pj7cF"
31,2022-05-01 16:28:48+00:00,"Nancy Pelosi really deserves credit for being the highest ranking U.S. official to visit Ukraine and meet President Zelensky. 

It is important Ukraine knows they have the full support from America and this act of diplomacy from her is really significant at this moment."
32,2022-05-01 16:20:49+00:00,"JUST IN - Adam Kinzinger (R-IL) to introduce a joint resolution that would ""authorize the use of U.S. Armed Forces to defend Ukraine"" should Russia use chemical, biological, and/or nuclear weapons.

https://t.co/YTfSI135fv"
33,2022-05-01 16:04:09+00:00,"In the end the thing that bugs me the most is that had we helped equip Ukraine before the war with the kinds of material being sent now, and allowed the Ukrainians time to train up properly, the war would probably be close to over by now. So many lives saved and crimes prevented."
34,2022-05-01 16:02:08+00:00,"Speaker Nancy Pelosi made an unannounced trip to meet with President Zelenskyy in Kyiv. 

Comment with a ‘🇺🇦’ if you stand with Ukraine and Speaker Pelosi!"
35,2022-05-01 15:57:02+00:00,Is Adam Schiff and Nancy Pelosi going to Ukraine to do some laundry?
36,2022-05-01 15:35:46+00:00,Our country is a complete shitshow &amp; Nancy Pelosi is in Ukraine for photo ops &amp; possible  business deals. Why is this more important than visiting our own border?
37,2022-05-01 15:20:40+00:00,"Artillery appears to be Russia's last hope. I look forward to more western, long range, artillery and counter fire radars in Ukrainian hands. Time to take out the big Russian guns. https://t.co/S5Db9DqU3q"
38,2022-05-01 15:19:22+00:00,"Words matter, but so do our actions. I’m introducing this AUMF as a clear redline so @POTUS can take appropriate action if Russia uses chemical, biological, and/or nuclear weapons. We must stand up for humanity and we must stand with our allies. https://t.co/zyAlZNGcAL"
39,2022-05-01 15:06:55+00:00,Why in the hell is Adam Schiff &amp; Pelosi in Ukraine?
40,2022-05-01 14:49:11+00:00,"With @SpeakerPelosi, I met with @ZelenskyyUa and those on the frontlines of the war in Ukraine.

We had one purpose: to reinforce our commitment to our allies.

When we return, Congress must take up @POTUS's request for humanitarian and military aid.

There's no time to waste. https://t.co/yS0jIRYrx0"
41,2022-05-01 14:45:01+00:00,"Just as Putin chose to launch this brutal invasion, he could make the choice to end it. 

Russia is the aggressor, and the world must and will hold Russia accountable."
42,2022-05-01 14:35:40+00:00,"free clue: if you're criticizing Nancy Pelosi for visiting Ukraine, you're on the wrong fucking side"
43,2022-05-01 14:00:01+00:00,The fight for freedom in Ukraine is a fight for Ukraine and for freedom everywhere. #SlavaUkraini https://t.co/Ueomwj4Urk
44,2022-05-01 13:55:04+00:00,"Nancy Pelosi made an unannounced visit to Ukraine’s capital Saturday, becoming the highest-ranking U.S. official to meet with President Volodymyr Zelensky since the war started. She told him, ""Our commitment is to be there for you until the fight is done."" https://t.co/qiefJPVPMt https://t.co/ms1jTh5Fdg"
45,2022-05-01 13:53:04+00:00,"A railway bridge gets tired and collapses in Russia’s Kursk region, while explosions are heard in the country’s Belgorod region, where a military facility suddenly caught fire."
46,2022-05-01 13:39:48+00:00,".@elonmusk can you help us @WCKitchen keep feeding Ukraine? #FoodFighters like Starlink system, we have a network of Hundreds of restaurants feeding non stop? And then let’s go to feed the world? #YesWeCan https://t.co/TdXD07DgqP"
47,2022-05-01 13:39:32+00:00,"[2] Yesterday, at the moment of the #Ukraine attack more than 40 high-ranked Russian military officers gathered in the HQs in #Izium. Reportedly, up to 20 of them are confirmed killed incl. Gen. Andrey Simonov, a commander of electronic warfare forces of the West district. https://t.co/iBDIhHuvvi"
48,2022-05-01 13:32:25+00:00,"Money laundering scheme confirmed, Pelosi lands in Ukraine to meet with Zelenskyy"
