,Date,tweet
0,2021-06-01 20:28:48+00:00,"One-Fifth of U.S. Beef Capacity Wiped Out by JBS Cyberattack:

The White House has offered assistance to JBS after the company notified the Biden administration on Sunday of a cyberattack from a criminal organization likely based in #Russia.

https://t.co/iFiwWlv9gX"
1,2021-06-01 18:34:55+00:00,"Good meetings of #NATO Foreign &amp; Defence Ministers to prepare the 14 June #NATOSummit. We discussed issues including #Afghanistan, #Belarus, #Russia &amp; #China. Ministers agree we need to take ambitious decisions to strengthen the transatlantic bond for an age of global competition https://t.co/XCJ9if9mVn"
2,2021-06-01 18:12:33+00:00,Remarkable interview with President of Ukraine @ZelenskyyUa in today's @FAZ_NET on #Russia the Normandie format &amp; the #German debate around delivering weapons to #Ukraine (or not). I hope FAZ comes up with an English translation ... https://t.co/J3HcrjeCIz
3,2021-06-01 14:10:55+00:00,"Current relationship between #Russia &amp; #US is, in some ways, worse than during Cuban Missile Crisis, says former President Medvedev
https://t.co/fkMrdctQJj"
4,2021-06-01 14:09:28+00:00,"#Germany's Green Party drifts toward militarism: Its co-leader, in Kiev, supports sending tanks to #Ukraine.  A critic replies: ""For a German politician to don a steel helmet close to the Russian border is inappropriate, grotesque, even, given our history” https://t.co/PE36tGhaBC"
5,2021-06-01 11:54:35+00:00,"💬FM Sergey #Lavrov: Common history is evidence that #Europe never could build a solid security architecture and ensure the continent’s peaceful, stable development while trying to spite 🇷🇺#Russia or leave it out of the equation.

🔗 https://t.co/PGcw0gUlju

#RussiaEU https://t.co/FIC4JvZF0V"
6,2021-06-01 11:31:41+00:00,"FM #Lavrov: #Russia is willing to normalise relations and restore dialogue with #EU only based on equality, mutual respect and balance of interests, without any unilateral requirements or preconditions. #RussiaEU https://t.co/Oe6sFWMMjh"
7,2021-06-01 09:31:37+00:00,"#EU &gt;&gt;#Russia’s Lavrov blames the West for ‘shutting Russia out’

Russian Foreign Minister Sergei Lavrov has blamed the European Union for having suspended “the mutually beneficial architecture of cooperation”
https://t.co/3Vrn3JVnFw https://t.co/Yk4tOgAJga"
8,2021-06-01 07:36:43+00:00,"Protests in #Idlib Province as #Assad regime appointed to #WorldHealthOrganization board w no debate 

Regime &amp; #Russia have bombed many #Syria medical facilities, blocked medical aid, &amp; downplayed #Coronavirus 

""It’s like appointing a pyromaniac to be the town fire chief."" https://t.co/rXPhAWshdk"
9,2021-06-01 02:32:55+00:00,"#Russia's state TV shows a clip of an opposition activist abroad discussing protests &amp; the possibility of Russia falling apart in the future. Host and experts cry out: ""He is advocating the overthrow of the gov’t!"" ""Treason! Give him 20 yrs in prison!"" ""Jail him for those words!"" https://t.co/cZo2dpfJ1P"
10,2021-05-31 20:23:31+00:00,"#Russia's state TV hosts and experts are disappointed today: ""We were ecstatic when we thought that Joe Biden is backing down, but it seems that he's not."" They predict this will be Biden's last one-on-one meeting with Putin &amp; urge Putin to smash the American face into the table. https://t.co/2wadJtRdJ1"
11,2021-05-31 20:10:44+00:00,"#Russia's MFA is promising uncomfortable surprises with respect to the upcoming Biden-Putin summit, stating Russia wants to discuss ""human rights violations"" against Capitol insurrectionists. No one cherishes the rights of protesters—much less seditionists—more than the Kremlin. https://t.co/3WB18nU4ds"
12,2021-05-31 18:47:48+00:00,Release of ex-leader of Right Sector in Odesa was predictable after far right attack of office of president of #Ukraine demanding it &amp; after revelation of Zelensky offer to him to head Security Service of Ukraine in Odesa. He is also likely to go free for murder that he streamed. https://t.co/FjpZzb4bzD
13,2021-05-31 17:23:25+00:00,"The British MI6 intelligence agency’s representative Jonathan Powell suggested that leader of the Al-Qaeda affiliated Jabhat al-Nusra terrorist group (outlawed in #Russia) Abu Mohammad al-Julani should be considered as an ally by the West. 
https://t.co/hcCW2n42gU https://t.co/upWE845Yth"
14,2021-05-31 15:41:01+00:00,"The messaging around Moscow is becoming noticeably patriotic, with slogans like “The country of victors” and “We’re first!” It is poster patriotism: but is national pride buildable with billboards..? @BBCNews @BBCWorld https://t.co/Qj2XB1ZSOG #Russia https://t.co/2gWgiVhcLY"
15,2021-05-31 14:22:03+00:00,On the eve of World #ChildrenDay a child-writer from #Donbass @FainaSavenkova calls on the UN not to forget about fates of children in Eastern #Ukraine that have been living at war for last 7yrs. A touching and emotional appeal! #SaveDonbassChildren from #Ukraine army! https://t.co/wHB94oS3ew
16,2021-05-31 08:13:56+00:00,#Russia must be strongly warned to stop #Belarus’s ‘absorption’. International  comunity will reject any ‘deals’ with illegitimate  leader of Belarus same as it rejects occupation of #Georgia and annexation of #Crimea. https://t.co/yBuHfB3Xsy
17,2021-05-30 19:24:29+00:00,"#Pakistan, #Russia sign agreement to develop ""Pakistan Stream"" Gas Pipeline.
An important development for Eurasian Cooperation and a further improvement of the bilateral relations. 
https://t.co/QIhshEWsX5"
18,2021-05-30 17:58:45+00:00,"Top propagandist on #Russia's state TV, Dmitry Kiselyov, describes the U.S. as ""an insane asylum,"" Russia as ""an island of normalcy"" and Tucker Carlson as his ""colleague."" Kiselyov expresses concerns about ""racism against white men"" (specifying that he isn't worried about women). https://t.co/DWQGOn7n2s"
19,2021-05-30 17:56:37+00:00,"Ethiopia holds anti-US rally over #Tigray, supports #China and #Russia 
At the rally, people held placards criticising the US while others applauded Russia's President Vladimir Putin and China's leader Xi Jinping. https://t.co/27tYisvDlK"
20,2021-05-30 17:32:16+00:00,"CIA media: ""But this not important, just routine, #Russia is not involved and it's well known that the US can do what it wants with impunity"" https://t.co/D8BJFYZ5qZ"
21,2021-05-30 16:00:12+00:00,#Russia's President Putin pledges to make it clear to US #Biden at June summit that Moscow will not let Washington abuse #HumanRights and dictate to other nations what to do or not do https://t.co/5MUy4SbqyJ
