,Date,tweet
0,2021-08-01 15:10:03+00:00,"#RRRMovie Team Leaves To East Europe! ( #Ukraine ) ✈️✈️ For song shoot 📷

@tarak9999 @AlwaysRamCharan @ssrajamouli @DOPSenthilKumar
@DVVMovies 🔥🌊 https://t.co/ROGFpeAg2s"
1,2021-08-01 14:27:22+00:00,"🐯 Enroute to #Ukraine ✈.

Today NTR &amp; His Family Spotted At Airport  Going To Ukraine for the final Schedule of #RRRMovie 🌊🌊🌊 ( Song Shoot )

Finally film will be wrapped up after this Schedule. https://t.co/dSCVEF5Sg0"
2,2021-08-01 10:44:48+00:00,It’s obv best counter to Putin is make Ukr flourish. if we serious about this shld be Marshall plan. Re #ns2 fight perfect opp: give up gas transit biz as dying biz anyway. Dump huge $$$ #Ukraine  renewables &amp; make it hydrogen powerhouse of europe. It can use its pipes for that https://t.co/yylpLaKqk5
3,2021-08-01 10:12:33+00:00,"#جبل_الزاوية_تحت_القصف regime forces backed by #Russia continue to shell villages and towns #جبل_الزاوية targeting these densely populated towns in full view of the world for how long will Syrian blood remain visible?
#Syria #Idlib"
4,2021-08-01 09:28:09+00:00,"#جبل_الزاوية_تحت_القصف regime forces backed by #Russia continue to shell villages and towns #جبل_الزاوية targeting these densely populated towns in full view of the world for how long will Syrian blood remain visible?
#Syria #Idlib"
5,2021-08-01 05:25:18+00:00,"#Kremlin created ‘Commission on historical education’ to analyse ‘activities of foreign structures damaging interests of #Russia’. We can guess some ‘educational tasks’- justify Nazi-Soviet friendship pact, Stalin’s repressions, deportations and occupation of #Baltic states. https://t.co/URawICRu0r"
6,2021-07-31 13:53:46+00:00,"Zamir Kabulov, Putin's envoy for #Afghanistan 🇦🇫 just  defended #Pakistan 🇵🇰:

1) Kabulov called Pakistan a ""solid partner"" of #Russia 🇷🇺 

2) Kabulov accused the Afghan government of scapegoating Pakistan 

3) Kabulov said Pakistan viewed Afghanistan as its bridge to Eurasia"
7,2021-07-31 11:26:55+00:00,"With barely a whisper of protest from either the media or the American people, Barack Obama and Joe Biden supported and empowered a group of far-right, Nazi-idolizing, Hitler-worshipping militias to fight against Russian-backed separatists in East #Ukraine
https://t.co/hOAX30Q51i"
8,2021-07-30 10:56:25+00:00,"ICYMI: NATO and #Hungary 🇭🇺 have delivered ventilators to help #Ukraine 🇺🇦 respond to the #Covid_19 pandemic. 

Earlier this year, Ukraine also received over 9,000 litres of disinfectant from #NATO.

Read more: https://t.co/E9IvZut29M https://t.co/TPFedUq3Gk"
9,2021-07-30 09:52:11+00:00,"#BREAKING. In #Belarus, de facto president Lukashenka said that ""#Russia could place troops on Belarusian territory"".

This announcement is probably aimed to prepare the public opinion to the idea of permanent Russian military bases in  Belarus. 

https://t.co/YeQZw91EaP"
10,2021-07-30 08:09:26+00:00,"Did #Azerbaijan, #Pakistan or #Qatar send aerial firefighting airplanes to #Turkey? Your new “friend” #Russia? Did they send any kind of assistance? 

Only #Greece offered help! 

Who is your real friend komşularım? Yes it is #Yunanistan ! 

Let us send help!!! ❤️🇹🇷🤍🇬🇷💙 https://t.co/wCO6rE3NRB"
11,2021-07-29 23:07:56+00:00,"In 2014, #ISIS (a symptom) provided a years-long distraction from the root causes of #Syria's crisis &amp; the West's attention has waned ever since.

In early-2018, the U.S. was complicit in selling out #Daraa to #Russia -- U.S. officials knew full well it'd be besieged &amp; conquered."
12,2021-07-29 11:48:06+00:00,Why #Ukraine should be grateful to imperial #Russia and the Soviet Union. https://t.co/ufGZLG5qAG
13,2021-07-29 09:47:08+00:00,"Kremlin spox #Peskov: #Russia never interfered, nor has any intention to interfere into US or other countries’ electoral processes. https://t.co/aiZPyzRTWE"
14,2021-07-29 04:45:52+00:00,"🐯 Today is International #TigerDay! 

🇷🇺 #Russia is home to the magnificent &amp; gorgeous Siberian aka #Amur tigers. The hard work put into conservation efforts has paid off: the endangered species is no longer in immediate danger with 550+ adult animals roaming the wilderness. https://t.co/vDidZJkEBR"
15,2021-07-28 18:43:35+00:00,The #EU and the #EuropeanParliment lost the plot when #Navalny was imprisoned by #Russia  - I believe he's still alive. Will the EU lose the plot because #Israel has just murdered an innocent 12 year old child called Mohammed al-Alami...? Or do #Palestinian lives not matter...? https://t.co/tdO2A8B5VM
16,2021-07-28 17:25:20+00:00,"“They’re in our nuclear power grid, they’re in our water grid, they’re in our electric grid—because that’s how they intend to fight a potential war with us,” @EvelynNFarkas said of the Kremlin. “I think it’s dangerous to roll over.”
#Russia 
https://t.co/2x07WUVpEE"
17,2021-07-28 15:14:38+00:00,"Lola was laid to rest today surrounded by friends, flowers &amp; music from the Buena Vista Social Club. And lots of incense, since we had a beautiful orthodox service at a central Moscow church. #RIP #Russia #Covid_19 #COVID #coronavirus #photography #photograph https://t.co/P2Sgpe8dhn"
18,2021-07-28 11:54:35+00:00,MFA spox #Zakharova: #Russia respects other countries’ sovereignty and independence. We do not use Western practice of “colour revolutions” in order to bring to power those who advance foreign rather than truly national interests. https://t.co/MyDBrWjF4I
19,2021-07-28 11:35:42+00:00,"Why Joe Biden’s #Russia-bashing is a tactical mistake 
(And why he should have read @GeoffNorcott - seriously)
It's bad analysis, and it's bad policy to go for cheap Russia-bashing, even if it pleases the base
For @spectator @SpecCoffeeHouse
https://t.co/vdQD86C4GZ"
20,2021-07-27 14:53:30+00:00,"🇷🇺 The Russian women’s artistic gymnastics team made history, winning in a dramatic final at the #TokyoOlympics2020 🥇

☝️ That's #Russia’s first gold medal in such team event since 1992.

🥳 Congrats to our extraordinary athletes! #WeWillROCYou

📸@tass_agency https://t.co/dYcaVvtVDo"
21,2021-07-27 12:26:08+00:00,"#Russia's RT claimed that no one is rooting for Team USA at the #Olympics because America’s true patriots—the Capitol insurrectionists—are “still rotting in solitary confinement,” having been “jailed on patently political grounds.” 
https://t.co/m4BnwP0Wjt"
22,2021-07-27 11:33:21+00:00,"1️⃣1️⃣0️⃣ years ago, the legendary Soviet intelligence officer Nikolai #Kuznetsov was born.

👉 He worked in the Nazi-occupied #Ukraine: uncovered #Hitler's secret bunker, eliminated 11 Nazi generals and officials.

🕯He died in a fight with UPA fighters in 1944 - only 32 yo. https://t.co/Po4hxUNFMV"
23,2021-07-27 10:59:30+00:00,MFA spox #Zakharova: There is no future in elevating Russophobia to the rank of state policy. Anti-#Russia hysteria launched in #UK will eventually backfire against its masterminds. Dialogue should base on mutual respect and consideration for each other’s interests. https://t.co/LKkSZeCrwO
24,2021-07-27 08:37:31+00:00,"Me thinks that #Russia should be sanctioned for trying to be Russia.

P.S. ""The country’s athletes are competing as ROC—and fighting to maintain their identities without the bear symbol...""
Note to author - bear is ""symbol of Russia"" only in MSM propaganda
https://t.co/wu2CWSS4m7"
25,2021-07-27 07:02:48+00:00,Another interesting #design from #Soviet #Russia is the #1960s #VNIITE PT #taxi concept It got nowhere but wouldn't look out of place on the road today https://t.co/E6j0G6jNkO
26,2021-07-26 16:23:41+00:00,"MFA spox #Zakharova: #Russia is invariably guided by the principle of non-interference in the domestic affairs of other countries. Nor do we harbour any unfriendly intentions with regard to the #UK.

💬Full comment: https://t.co/6kxpG1yozP https://t.co/UjMe8cYdCZ"
27,2021-07-26 16:22:48+00:00,"Just published!
This new handbook offers a comprehensive overview of the changing dynamics in relations between the #EU and #Russia provided by leading experts in the field.
@MaxineDavid
https://t.co/Q9rU7r1cyI"
28,2021-07-26 14:00:28+00:00,"A Ukrainian kimono done within “The Kimono Project” – an initiative to create a kimono for each participant country,  launched in 2014 in honor of the 2020 Tokyo #Olympics.

#Ukraine’s kimono has sunflowers, pysankas, storks, as well as the monument of Volodymyr the Great. https://t.co/iETsEWDm6C"
29,2021-07-26 13:13:00+00:00,"✈️🚁 #Russia's biennial #MAKS2021 international air show ended yesterday.

#ICYMI:
✅830 companies from 56 states
✅deals worth $3.6 bln 
✅135 000 visitors
✅brand new #Checkmate fifth-gen stealth fighter
✅Russian-made PD-14 engines
✅amazing aerial stunts &amp; more

#See4Yourself https://t.co/AIJyygi5dK"
30,2021-07-26 12:22:40+00:00,"MFA spox #Zakharova: #Russia has never used energy supplies or transit as a weapon and has no intention to do this in the future. #NordStream2 will function reliably, providing affordable energy to #Europe and strengthening #energysecurity of our common European continent. https://t.co/aa7rVVphBK"
31,2021-07-26 07:22:50+00:00,"🇷🇺🤝🇨🇺 #Russia delivers 88 tonnes of humanitarian aid to #Cuba: various food supplies &amp; 1 mln masks to help combat the #COVID19 pandemic.

#RussiaHelps

📹 Video by @ntctamayo79 &amp; @CubaMINREX https://t.co/0xZjQCOxoX"
32,2021-07-26 03:26:59+00:00,"Russian source hints at the possibility of closing Syrian skies to Israeli planes. 

#Syria | #Russia | #Israel 
https://t.co/pMsHg77tnY"
33,2021-07-25 18:29:38+00:00,Just discovered #Russia isn’t allowed to compete in #Tokyo2020 under its flag or name?!?! The “national anthem” being used is Tchaikovsky’s piano concerto. WTF?
34,2021-07-25 16:48:00+00:00,"EU Military Mission in the #Sahel argues that we need to counter the hybrid cyber threat from #Russia because it can lead to EU not being seen as a neutral actor. But how are we a neutral actor if we take #US side against Russia? And yes, EU is still behaving like a Colonialist.. https://t.co/QUmFNkQnPj"
