,Date,tweet
0,2021-05-01 17:49:19+00:00,"❌ The #EU keeps imposing unlawful unilateral restrictions on Russian citizens &amp; companies. This runs counter to the @UN Charter &amp; international law.

In response, #Russia bans the following EU citizens &amp; officials from entering its territory.

🔗 https://t.co/2elO5gUYIT https://t.co/KPhhfzXJjm"
1,2021-05-01 14:33:19+00:00,"🟥 During the Soviet era #May1 aka #LabourDay was a prime holiday marked by nationwide celebrations - the entire country &amp; even foreign guests took part, cheered and had fun in the streets.

This tradition continues to this day in 🇷🇺 #Russia. 

📢 #Peace #Labour #May! https://t.co/3EUvnlDOIW"
2,2021-05-01 14:22:16+00:00,#Tigray doesn't need Foreign occupation but it does need Foreign Powers to end all support for #AbiyAhmedAli who continues to commit War Crimes in Tigray. #Eritrea #UAE + #Saudi  have been complicit while #US #Russia and #EU continue to do business with this war criminal. Why...? https://t.co/RuMSEwsPsp
3,2021-05-01 10:07:58+00:00,"DANGEROUS CONGRESSMEN ALSO UNDER RUSSIAN CONTROL
Regardless of repeated warnings, lawmaker believed his influencers over U.S. intelligence professionals. Will his flat be raided next? #espionage #russia #gru @mfa_russia #asset 
https://t.co/NO5n93pcHM"
4,2021-05-01 02:00:13+00:00,"#UN fails to agree on Myanmar statement, diplomats blame #China, #Russia | Mizzima #Myanmar News and Insight https://t.co/4QFjA0GOdM https://t.co/k9yL9ljrCH"
5,2021-04-30 18:55:34+00:00,My reaction on imposition of restrictive measures by #Russia https://t.co/4nJWwL3QO1 https://t.co/pslHbdraby
6,2021-04-30 18:38:25+00:00,FM #Lavrov: #UK is continuing its anti-Russian policy. @ChiefMI6 Richard Moore said to @TimesRadio that #Russia is “a declining power” whose allegedly “reckless behaviour” needs to be dealt with. This is inherent arrogance and a belief that one continues to rule the world. https://t.co/5tgfFmnTAi
7,2021-04-30 16:31:53+00:00,"#Russia Bars Entry to Eight #EU Citizens, Including Head of European Parliament.
👍
https://t.co/x9N8nY7cXD"
8,2021-04-30 06:38:30+00:00,"Sweden is a special country. 🇸🇪 was the first in Northern Europe to recognize the independence of #Ukraine. On the birthday of His Majesty Carl XVI Gustaf, I wish you health and welfare. Grateful to 🇸🇪 for supporting 🇺🇦 territorial integrity and helping with reforms. @SwedeninUA"
9,2021-04-30 04:50:18+00:00,"Who benefits from the anti #Russia rhetoric thats increasing in #EuropeanParliament? Not the people of Russia, not the people of #Europe - More like the war mongering #NATO , #US Imperialism + those promoting the Militarisation of Europe - And happy days for the #armsindustry.... https://t.co/FC2vn4R9gH"
10,2021-04-30 04:00:21+00:00,"August 2032, Russia conquered China territory previously occupied by North Korea.
Check the full map at https://t.co/PlOxRP6c4w
#Russia #NorthKorea https://t.co/Zcz72oamg2"
11,2021-04-30 02:23:48+00:00,Will #China attack #Taiwan if #Russia attacks #Ukraine? https://t.co/qJM2bEkNcw
12,2021-04-29 16:42:38+00:00,"💬#Zakharova: We are monitoring the developments in 🇸🇴 #Somalia aggravated by the failure to hold a general election in February. As a permanent member of the #UNSC, 🇷🇺 #Russia plans to support international efforts &amp; provide comprehensive assistance to #Mogadishu https://t.co/2KDx8ZOBOk"
13,2021-04-29 12:21:47+00:00,"According to my sources, @Roscosmos tried to convince China to increase orbital inclination of its station (at very little cost), so that #Russia could add its modules and sent transport ships, but China refused. DETAILS: https://t.co/3tm3UdYPoI https://t.co/Rqa0KjLPiP"
14,2021-04-29 10:14:34+00:00,Another #EU Resolution attacking #Russia - We're suppose to criticise military build up on Ukraine border -  Why don't we talk about Western Interference in #Ukraine destabilising the Region + turning it into a Failed State? Or about #US Nuland boasting about funding 2014 Coup..? https://t.co/sJxyBq9ujx
15,2021-04-29 08:55:18+00:00,"🇷🇺⚡🇪🇺 If Russia is disconnected from SWIFT, the European Union will have to pay for oil in cash in suitcases, said the first deputy head of the Federation Council International Committee, FSB General Vladimir Dzhabarov.

#EU #Russia"
16,2021-04-28 20:12:36+00:00,"Discussed at #EPlenary EU relations with #Russia: We need to define a modus vivendi that will avoid permanent confrontation with a neighbour who seems to have decided to act as adversary. 
@Europarl_EN
https://t.co/DkBU98qWjs https://t.co/uJnw5i8laR"
17,2021-04-28 19:02:27+00:00,"🚨The Feds conducted pre-dawn raids of Rudy Giuliani's home &amp; business, along with the home of Victoria Toensing, who represented Dmitry Firtash, a pro-#Russia Ukrainian mobligarch under indictment in the US.

Team🇷🇺Traitor is gonna go thru some things.😎
https://t.co/TzdHUUOVj8"
18,2021-04-28 17:37:12+00:00,"#RussiaHelps 🇷🇺🤝🇮🇳 #RussiaIndia

#Russia sends oxygen concentrators, ventilators and 22 tonnes of medical supplies to #India to help fight #COVID19 and save lives. 

✈️ 2 transport planes are already en route @MEAIndia @IndianDiplomacy

Video by @MchsRussia / @minpromtorg_rus https://t.co/nmjGwVfmTU"
19,2021-04-28 16:53:09+00:00,The #EU is calling on #Russia to investigate the #Navalny case - So why did the #OPCW and #Germany refuse to supply the Russian Authorities with Navalny's biomedical samples so that they could initiate an investigation...? Why? https://t.co/0ImcqOW9rY
20,2021-04-28 16:19:02+00:00,Live: A rally led by #neonazi and radical nationalist organizations in honor of the SS Galicia division is underway in downtown Kyiv. The Kyiv mayor reportedly supported this rally. This is the new low for #Ukraine. https://t.co/jneZ9QYfSd
21,2021-04-28 14:33:00+00:00,".@MalcolmNance joins me for a 2nd time on The Al Franken Podcast. Talks #January6th &amp; #Russia. Here he explains why US sanctions on individual Russian oligarchs are so meaningful.

Subscribe on Amazon: https://t.co/IsFtpYbR7f https://t.co/Ctv7hyYdsf"
22,2021-04-28 12:44:56+00:00,"The #US journal Science, a #German marine scientific research institute and scholars from #Russia, the #ROK and many other countries all believe that the #wastewater, even after meticulous treatment, would still contain high levels of radioactive isotopes. https://t.co/UkrNt7jO2l"
23,2021-04-28 12:14:22+00:00,"""At least they didn't find out that we killed archduke Ferdinand yet, they are getting closer to that too though"" - #Russia's FM Lavrov on #Bulgaria also accusing Moscow of having blown up some Bulgarian ammo depots in the past.
😂👏
https://t.co/sfapIYUIeu"
24,2021-04-28 06:49:30+00:00,"In #StPetersburg, #Russia, this graffiti in support of the jailed opposition politician @Navalny appeared this morning. 

Guess how quickly municipal services will paint it over.... https://t.co/UclIBkNO6y"
25,2021-04-27 16:36:35+00:00,"#Russia seems to have deployed some Dagestani soldiers / security personnel into #Crimea and Stavropol regions and these are operating with civilian vehicles and clothing as well as in paramilitary uniforms.

Not exactly reassuring that they won't be doing anything nefarious. https://t.co/FffwuEvb58"
26,2021-04-27 11:12:09+00:00,"Lets take a moment to thank everybody who is helping us in this pandemic.
Thank you very much #USA,#UK, #SINGAPORE,#AUSTRALIA,#SAUDIARABIA,#UAE,#FRANCE,#GERMANY,#RUSSIA,#CHINA,#GOOGLE,#MICROSOFT.
It means a lot to every citizen of India 🙏🏻
Sorry If I forgot to mention any 🙏🏻"
27,2021-04-27 10:40:57+00:00,"In #Russia, the state TV leaked the expected list of foreign countries to be added to the ""List of Hostile States"" to be unveiled soon officially.

According to this TV leak, the list includes USA, Lithuania, Latvia, Estonia, Georgia, Ukraine, Poland, Czechia and UK. https://t.co/owciHDDXIQ"
28,2021-04-27 06:09:20+00:00,"#Kremlin, claiming to represent whole #Russia, made a list of  ‘unfriendly countries’. List not quite big yet. It’s like a list of recognition which countries efforts most efficient in containment and isolation of #Kremlin’s aggressive behavior and it’s own Anti- Russian activity https://t.co/6udXlmuqJu"
29,2021-04-26 22:55:42+00:00,"🇷🇺🇫🇷📞 Vladimir #Putin had a telephone conversation with French President @EmmanuelMacron. Particular attention was paid to the internal Ukrainian conflict. The two leaders expressed concern over the escalation of tension in southeastern #Ukraine.

🔗 https://t.co/dnKyNQmRDb https://t.co/4n6VydDCEO"
30,2021-04-26 14:32:12+00:00,".@MalcolmNance on this week’s podcast talking Jan. 6 &amp; #Russia. Here he discusses the fate of Alexei #Navalny. Scary. 

Subscribe on Spotify: https://t.co/oUEDlSoZV6 https://t.co/74SINZsVnU"
31,2021-04-26 12:13:00+00:00,"@mfa_russia We strongly oppose wanton unilateral sanctions imposed on #Russia by the #US &amp; some European countries.
Bridges are always needed."
32,2021-04-25 20:01:15+00:00,"✍🏼 Vladimir #Putin signed the Executive Order On Measures (Countermeasures) in Response to Unfriendly Actions of Foreign States to protect the interests and security of #Russia.

👇🏼Read the full text:

🔗 https://t.co/JQkumdM7xO https://t.co/Vxn985Ltfa"
33,2021-04-25 12:45:00+00:00,"On this week's podcast @MalcolmNance talks #Russia &amp; #January6th. The guy who called Russia’s 2016 hack before anyone else, predicts what will precipitate Jan 6 investigation.

Subscribe to The Al Franken Podcast on Apple Podcasts: https://t.co/cJzn4GnJET https://t.co/Mj7chU8mVI"
