,Date,tweet
0,2021-09-01 21:08:05+00:00,As the Co-Chair of Senate Ukraine Caucus I am pleased to see that President Zelensky #Ukraine and President Biden met today to solidify the important relationship between our two countries. Pres. Zelensky continues to fight corruption and align his country with the US and NATO.
1,2021-09-01 19:05:03+00:00,"🇺🇦 HAPPENING TOMORROW: Sep 2, 11:00am PDT

President of #Ukraine @ZelenskyyUa will speak on the importance of U.S.-Ukraine relations and #democracy in Eastern Europe in a special event at @Stanford hosted by @FSIStanford w/ @McFaul. 

✅ Zoom registration: https://t.co/O5SVHYCOYi https://t.co/WIVKPORRhi"
2,2021-09-01 17:13:39+00:00,"🚨Far-right propagandist/#Russia🇷🇺Insider founder Charles Bausman took part in the #January6thInsurrection, then *fled the country to Moscow* leaving his 2020 Christmas lights and an American flag dangling from his porch.

@MichaelEHayden #TrumpRussia 
https://t.co/lor6c5nSuo"
3,2021-09-01 15:05:05+00:00,"President Biden pointed to the US competition with #China as a reason for America’s withdrawal from #Afghanistan.

Now, Biden said the US should focus on threats coming from #Russia and above all China. https://t.co/p1R9y0SqfN"
4,2021-09-01 11:37:30+00:00,The systematic (i.e. centrally controlled) manipulation of #Russia's covid death toll has become quite obvious in recent weeks. https://t.co/Fm1UlfCkYz
5,2021-09-01 11:11:06+00:00,"Here’s the poster of my next feature film #Bishwa currently competing at 4 international film festivals in #spain #mexico #chile and #ukraine  Need lots of wishes ❤️🙏 Excitedd Main Aidda 🕺🏻

@YagyaBhasin @pathakvinay @JadhavUsha 

@nilamadhabpanda @ianujtyagi https://t.co/AgLt4n77iW"
6,2021-09-01 09:03:37+00:00,"Presenting the poster of our next feature film #Bishwa currently competing at 4 international film festivals in #spain #mexico #chile and #ukraine  Need lots of wishes..!❤️

@yagyabhasin @pathakvinay @sharibhashmi 

@n_madhabpanda @ianuj_tyagi @tilaasmi @subhchint 
#childrenfilm https://t.co/LIqcX4s5WH"
7,2021-09-01 07:33:59+00:00,"#US announced allocation of up to $60 million in #military aid to #Ukraine ahead of the bilateral talks on defence:

https://t.co/0I0Cp0XDWI"
8,2021-09-01 04:53:21+00:00,"Today 🇷🇺 #Russia mourns the 3⃣3⃣4️⃣ victims (incl. 186 kids) of the terrorist attack in #Beslan of 1 September 2004. 

🙏 The pain of this tragedy is shared by all Russians &amp; many abroad.

❗ Reminder: International terrorism is a common threat to all nations &amp; peoples! https://t.co/p09JUFYcyw"
9,2021-09-01 01:51:43+00:00,"From a strategic perspective &amp; despite the pain and complexity of departure from #Afghanistan, America's rivals now see a US not tied down financially &amp; militarily in one small problematic geographic spot. The US will be more globally militarily nimble now. #China #Russia #Biden"
10,2021-08-31 20:48:50+00:00,"You will laugh, but I just heard on #Russia's state TV that the Soviet Union never lost the war in Afghanistan. https://t.co/kwJCPCN9eF"
11,2021-08-31 20:32:00+00:00,"Meanwhile...#Biden just pledged $60 MILLION to #Ukraine ahead of his first face to face w/the Ukrainian president. 

OUR $$s! For Ukraine to spend on war equipment to ward off ""increasing Russian aggression.""

I thought we just decided we didn't want to meddle around the world!"
12,2021-08-31 19:19:41+00:00,"""In an 8-hour long meeting with #Talibans leader Mullah Usmani, we demanded the extradition of #Bin_Laden and elimination of al-Qaeda. Mullah Osmani had predicted that US's FATE would be similar to #Russia's. AND HE WAS RIGHT"" 

Robert Grenier, CIA station chief in 🇵🇰after 9/11 https://t.co/NHxyEFHqux"
13,2021-08-31 18:37:58+00:00,"Ethiopia has been demonized in US media.   Now U.S. Embassy accuses borkena of “false reporting” and demands “retraction, apology."" Read https://t.co/tNVEZQNPFk @mfaEthiopia #Ethiopia #Eritrea #Russia #China #India #Canada  #TPLFisaTerroristGroup @USEmbassyAddis #USbackedTPLF"
14,2021-08-31 17:18:36+00:00,"FROM MOSCOW WITH OIL: For 2nd consecutive month, Russia total oil (crude and refined products) exports into the US climb to an all-time high (848,000 b/d), consolidating its position as the 2nd largest oil supplier to America, ahead of Mexico and Saudi Arabia | #OOTT #Russia https://t.co/7glScXh0bO"
15,2021-08-31 15:55:47+00:00,"In French, MEP @guetta_en asks a deadly question: 
“Are we Europeans really sure of the U.S. reaction if Vladimir Putin marched on Kiev or annexed eastern #Ukraine in the hope of regaining popularity?”
#deterrence
1/2
https://t.co/gN6asrS5jj"
16,2021-08-31 15:27:10+00:00,"Deranged host and propagandists on #Russia's state TV claim that #HurricaneIda is ""God's punishment of America,"" who they say is ""hated by everyone, even nature."" https://t.co/nA4fyq74pR"
17,2021-08-31 13:21:39+00:00,"#Russia's state TV propagandists are spreading this lie as well, citing Fox News as their source.
https://t.co/VWQ3HBLqbS https://t.co/dq7HXYIlZu"
18,2021-08-31 12:00:39+00:00,"@Tokyo2020 #Ukraine we still didn’t forgive u about MH17, now u protests on our athletes ? If u want to protest. Do it at the first place, not after the event. Rubbish"
19,2021-08-31 11:12:54+00:00,"Had a good call with #Russia Minister of Health Mikhail Murashko on #COVID19 tools &amp; equitable access. We discussed ways to strengthen @WHO including via a  #PandemicTreaty. I thanked him for 🇷🇺’s enduring  support to #EndTB, which afflicts far too many people globally. https://t.co/zYpwbJGxcC"
20,2021-08-31 07:12:37+00:00,"After 15 years of global democratic recession, coups in Burma &amp; Tunisia, the return of the Taliban, etc., the democratic world needs to consolidate some wins. Start with #Ukraine. On the eve of the @POTUS  @ZelenskyyUa meeting this week, my take on how: 
https://t.co/5kYsSHOhpq"
21,2021-08-31 06:35:00+00:00,"Resolution by UN General Assembly called upon all states to prevent flow of arms to #Myanmar but #Russia only interested in friendship w/ criminals, trading weapons &amp; defence equipment w/ junta that's killed 1,030+ ppl since Feb. Global arms embargo now! https://t.co/wZrLmoUfku"
22,2021-08-30 17:14:06+00:00,"#IndianArmy 

-#Russia training to take on #Taliban❓
-Positions 800 troops in #Kyrgyzstan
-#Russian troops are exercising with Kyrgyz #Kazakhstan  #Tajikistan
-They are conducting joint military operation to destroy illegal armed gps
-They hv deployed S300 missile defence system https://t.co/04SUYBGYWR"
23,2021-08-30 17:09:53+00:00,"Trump did deep damage to US-Ukraine relations. This week when meeting with @ZelenskyyUa  at the White House, @POTUS can end this dark period and begin to build a special relationship with #Ukraine. My take: https://t.co/I6PXWdqqaF"
