,Date,tweet
0,2022-04-01 23:52:59+00:00,"Russian state TV keeps referring to Ukraine as ""the hydra"" that needs to be crushed. This term is straight from the Soviet period of the Red Terror, when Felix Dzerzhinsky proclaimed: ""Let the working class crush the counterrevolutionary hydra with mass terror!"" https://t.co/G7qtzWxYS9"
1,2022-04-01 23:32:59+00:00,"ICYMI: ""Ivanka Trump organizes medicine, equipment for Ukraine""

https://t.co/bumG7fGmRe https://t.co/t4SqAhV3OA"
2,2022-04-01 22:45:58+00:00,At 28 Natalia flew fighter jets. First woman-pilot in the #Ukraine Air Force. She gave her life for Ukraine. A true Ukrainian Super Woman https://t.co/uNnDfQozwm
3,2022-04-01 22:28:49+00:00,Rampant inflation is not result of the Ukraine war: it is result of dumb lockdown policies; dumb energy policies; dumb zero carbon policies; and ultra dumb extended money printing policies.
4,2022-04-01 21:42:50+00:00,"So far this year Republicans are against:

1. Anyone with diabetes
2. Social Security 
3. Medicare
4. Medicaid 
5. Raising taxes on uber wealthy
6. Equality 
7. Voting Rights
8. Books
9. The internet
10. Anything electric 
11. Roads (that damn Pete Buttigieg)
12. Ukraine"
5,2022-04-01 21:35:06+00:00,"Two low-flying Ukrainian helicopters crossed into Russian territory early Friday and fired on an oil depot in the city of Belgorod, a regional governor said — the first time Russia has reported a Ukrainian airstrike on its territory since the war began. https://t.co/LRzAFogyxd https://t.co/eoMatzd91w"
6,2022-04-01 21:31:56+00:00,This man is doing more for Ukraine than the entire Republican Party combined. https://t.co/rOfX28TUbS
7,2022-04-01 21:14:27+00:00,"Heavy rain in Kyiv and many other cities in Ukraine.
Welcome to the spring mud season, Vlad."
8,2022-04-01 19:35:50+00:00,"Breaking News:  Putin complains about Ukrainian helicopters destroying a fuel depot in Russia, saying it’s a foul play move by Ukraine.

To Putin, (who’s been destroying entire cities and targeting civilians) fighting back is unfair.

Sounds a lot like the GQP."
9,2022-04-01 19:21:02+00:00,"A Russian official accused Ukraine of mounting a helicopter attack on a fuel depot inside Russian territory Friday, as footage surfaced of the facility engulfed in flames https://t.co/3EajcoiGs9"
10,2022-04-01 19:10:07+00:00,"Oops…

@AJArabic reporting on #Ukraine, when suddenly viewers get a glimpse of «innocent patients» aka Ukrainian soldiers casually using an ambulance for cover. This just adds to the point that 🇺🇦forces cynically use civilian infrastructure and civilians as human shields. https://t.co/BpVrk7ZvCB"
11,2022-04-01 19:01:30+00:00,"As Ukrainian forces advance, let’s look at what a decisive Ukrainian victory &amp; full Russian defeat might mean. For over 20 years, Putin’s Russia has arguably been the main force driving extremism &amp; undermining democracy worldwide. The stakes are very high.

A thread:

1/12"
12,2022-04-01 18:03:23+00:00,How Ukraine in the World Cup I thought they was busy
13,2022-04-01 17:54:22+00:00,Republicans: Soft on Russia. Tough on diabetics. https://t.co/py54zQrgjs
14,2022-04-01 17:52:29+00:00,"⚡️ Shmyhal: Russia wants to create global food crisis.

Russia is blocking grain exports from Ukrainian ports with a naval blockade, said Prime Minister Denys Shmyhal. 

He added that Russia is deliberately destroying Ukrainian granaries."
15,2022-04-01 17:42:35+00:00,Britain to send even more long-range artillery and armoured vehicles to #ukraine. Germany still sent only helmets. #Zelensky knows  his true allies
16,2022-04-01 17:16:53+00:00,"There we have it!

Either Wales, Scotland or Ukraine will be the final team to join us in Group B. https://t.co/66QgJ56sej"
17,2022-04-01 17:16:12+00:00,"The BBC’s 6pm News has wheeled out Hugh Pym for some all out Covid scaremongering for a Friday evening.
Guess they must be bored of the war in Ukraine now?
“It’s still spreading,” Pym warns ominously. No sugar Sherlock. And it will forever more.
Stop the fear. Reclaim our lives."
18,2022-04-01 17:15:01+00:00,"After blaming the UK and US for Russia's war against Ukraine, the Russian lawmaker asserted that Ukraine shouldn't be allowed to exist: ""It's a cancerous growth that needs to be eliminated all the way to the border with Poland. We can't allow even a small part of it to remain."" https://t.co/dS6hXFmayf"
19,2022-04-01 17:06:10+00:00,#Russia’s status at @UN must be revised. An aggressor cannot remain with veto power on the Security Council. Just doesn’t make sense
20,2022-04-01 17:03:24+00:00,Rishi Sunak’s wife owns around £400m of shares in Infosys - which has just announced it is closing it’s Russian office after coming under pressure following the invasion of Ukraine. https://t.co/pDcZ8C2Lsg
21,2022-04-01 17:02:39+00:00,"Reports of Ukraine Striking back on Russian soil!

Good or bad?"
22,2022-04-01 16:55:41+00:00,"Spoke with @TrussLiz today to continue our close coordination on curbing Putin’s war on Ukraine. The U.S., UK, and the rest of Europe remain unified in our support to Ukraine and its people."
23,2022-04-01 16:49:31+00:00,"Putin’s invasion of Ukraine underscores the need to fight autocracy and defend free, democratic societies. 

The Hungarian elections on April 3 are an opportunity to reaffirm democracy. 

Hungarians in Hungary, the U.S., and elsewhere: Go vote!"
24,2022-04-01 16:48:49+00:00,#Ukraine: A very dangerous NLAW anti-tank guided missile with an unconventional feline payload was spotted with the Ukrainian soldiers. https://t.co/yxTldFRZ9L
25,2022-04-01 16:43:45+00:00,"🔺 EXCLUSIVE: China staged a huge cyberattack on Ukraine’s military and nuclear facilities in the build-up to Russia’s invasion, according to intelligence memos obtained by The Times https://t.co/johEE0k2VF"
26,2022-04-01 16:36:14+00:00,"Pay attention.

Yesterday, Russia's FM Lavrov was in China. 

Today, in India meeting both the Indian FM and Prime Minister.

The UK, Greece, China, Austria, Mexico all had ministers in India in past weeks-- Modi only met with Lavrov.

India and China refuse to bow down to West."
27,2022-04-01 16:21:19+00:00,"Unbelievable.
Two full-fledged axes of attack just collapsed and were abandoned within 1 or 2 days. They just left having achieved nothing.
We expected Russians to get entrenched to prevent Ukraine from reinforcing Donbas, but leaving completely, en masse… unbelievable."
28,2022-04-01 16:14:13+00:00,Ivanka Trump helps deliver meals to Ukraine | Miami Herald  https://t.co/8rJuIC7Ko6
29,2022-04-01 16:00:06+00:00,"Two low-flying Ukrainian helicopters crossed into Russian territory early Friday and fired on an oil depot in the city of Belgorod, a regional governor said — the first time Russia has reported a Ukrainian airstrike on its territory since the war began. https://t.co/LA8CKJBFA1 https://t.co/5qEArPIFkh"
30,2022-04-01 15:42:08+00:00,BREAKING: Germany approves the delivery of 56 Pbv 501 combat tanks to Ukraine
31,2022-04-01 15:30:23+00:00,"The Ukrainian parliament has approved a law with a list of rewards for Russian military equipment. Russian soldiers defecting to Ukraine with a warship or a jet can now claim up to $1 million. A tank or an artillery piece would be worth a $100,000 reward."
32,2022-04-01 15:20:16+00:00,"“Russia wants us to support them but we don’t recognize Crimea, or Donbas. Yes, we are in a union with Russia but it doesn’t apply to this situation. We won’t help Russia avoid US and EU sanctions.” - Deputy  chair of the presidential administration in Kazakhstan. This is huge."
33,2022-04-01 15:09:37+00:00,"India's stance on Russia's war in Ukraine is disgusting, not befitting of a supposed democracy. It's standing up for the war criminal."
34,2022-04-01 15:09:01+00:00,"Russia praises India for not judging war in ""one-sided way"" https://t.co/te4BiILj0i"
35,2022-04-01 15:02:26+00:00,"Orthodox tycoon Konstantin Malofeyev says Russians should recognise that their country is waging a ""holy war"" in Ukraine against ""satanists"" and ""pagans"" https://t.co/KOxY71V1hn"
36,2022-04-01 14:50:36+00:00,"⚡️Defense Ministry about Belgorod attack: Ukraine not responsible for catastrophes in Russia. 

The ministry's spokesperson said that Ukraine is repelling Russian aggression on its territory, and is not responsible for all “miscalculations"" in Russia, Ukrainska Pravda reported."
37,2022-04-01 14:15:49+00:00,"New: Germany has approved delivery of 56 combat tanks to Ukraine, a German Defense Ministry spokeswoman told CNN. The tanks are from the Cold War-era East German army and had been sold to Sweden, then resold to the Czech Republic who will deliver them to Ukraine."
38,2022-04-01 14:10:17+00:00,"Russia's invasion of Ukraine was enabled because President Biden made a political choice to waive sanctions on Putin's Nord Stream 2 pipeline.

He overruled his own State Department, which warned him that waiving sanctions would be catastrophic. https://t.co/KiXnag1bqQ"
39,2022-04-01 14:09:37+00:00,"Well, Ukraine, I’m sorry to leave you, but I must return home. I’ll be back in July to study Ukrainian for the rest of the year. I love you very much and am doing all I can to support you. While I was with you, I hope I helped the world know that you are the baddest bitch ever! https://t.co/HGU8OYKtAp"
40,2022-04-01 13:45:21+00:00,"⚡️Mariupol city council: At least $10 billion needed to restore Mariupol’s infrastructure.

According to mayor Vadym Boychenko, the authorities are working on ensuring that Russia pays for the city's reconstruction and provides payments to all residents ""for their suffering."""
41,2022-04-01 13:29:45+00:00,"We’re 6 weeks into the war, and Ukraine is executing cross-border helicopter strikes into Russia. 

I don’t think *anyone* saw that coming. 

They’ve done some serious damage to a fuel depot in Belgorod. 

 https://t.co/xSKth9gJhT"
42,2022-04-01 13:19:28+00:00,"Russians are retreating form Kyiv Oblast en masse.

Bucha, Hostomel and tens of other towns and villages are now under the Ukrainian flag.

A decisive loss for Russia near Kyiv."
43,2022-04-01 13:17:33+00:00,"Open and frank exchange today at the 🇪🇺🇨🇳 Summit

There must be respect for international law and Ukraine’s sovereignty and territorial integrity.

China, as a Permanent member of the UN Security Council, has a special responsibility.
 https://t.co/3pp8VSAqUH"
44,2022-04-01 13:11:38+00:00,"🇷🇺🇮🇳 Russian Foreign Minister Sergey #Lavrov was received by Prime Minister @narendramodi during his official visit to #India

#RussiaIndia #DruzhbaDosti https://t.co/2ZIsW0pi97"
45,2022-04-01 13:05:32+00:00,"We’re having an absolutely incredible day. 
I just can’t keep up drawing a map with new towns and cities of the Kyiv region, from which Russia has withdrawn its forces."
46,2022-04-01 13:05:29+00:00,"Right let's give this a go #followbackfriday #GTTO. I am appalled with this government, hate brexit, stand with Ukraine. Love my campervan and running my property management Co!"
