,Date,tweet
0,2021-02-01 23:52:00+00:00,"Russian Jet Flies Low Near US Warship in Black Sea
The US sent three warships into the Black Sea at the end of January, Stoking tensions with Moscow 
#Russia #BlackSea
https://t.co/MvcjiDtW45 https://t.co/M9wGwsWWP8"
1,2021-02-01 23:25:21+00:00,"It is only through #China and #Russia's support that North Korea's leaders are empowered to make mental and physical prisoners of their own people.

Yet you won't hear a word of criticism directed at them via the #UN or the @UNHumanRights committee."
2,2021-02-01 23:10:07+00:00,"Over the #BlackSea, a #Russia|n Sukhoi Su-24 frontline bomber has conducted a low pass over the #US Navy’s guided-missile destroyer currently in the international waters of the sea: 

 https://t.co/bALxyAB5DH"
3,2021-02-01 23:06:06+00:00,A Russian #fighterjet flew low over the Black Sea near a #USNavy missile destroyer. Is it a testing of America's new POTUS? #Biden #Russia https://t.co/6VncLe3yQ8
4,2021-02-01 22:28:05+00:00,".@RusEmbUSA should check with Russian Navy on how often US Navy entered Black Sea in 2009-2013.

Not very often.

Things changed in 2014, after #Russia used military force to seize Crimea and spark conflict in eastern #Ukraine. https://t.co/3wZf91dKhw"
5,2021-02-01 22:18:29+00:00,They are going to win. All the Russian astrology charts say the same thing. Generation Aquarius rises. #Russia https://t.co/NIIQogn200
6,2021-02-01 21:43:29+00:00,On October 10th there was a pile of yarn and now - proud to present the result 🙃#Corona #Ukraine #knitting https://t.co/3B7obGC9xD
7,2021-02-01 21:26:31+00:00,"”For Russia’s left, the ‘Navalny protests’ are not about Navalny” | Hugely valuable on-the-ground reporting on #RussiaProtests by @rettperera, interviewing Russian socialists, feminists, and other activists involved. Vital reading. https://t.co/crxwqSB8Q8 #Russia #NavalnyProtests https://t.co/gYhxyctycD"
8,2021-02-01 20:24:56+00:00,"Warmest daily temperatures

44.6 Australia
42 Swaziland
40 Argentina
39 Senegal
38 Mali
37 Benin Togo  Ivory coast Ghana Ivory coast 

#Russia  coldest -57C  (60th day)
#ClimateCrisis #climatechange #GlobalWarming #GretaThunberg https://t.co/c657sUL0sl"
9,2021-02-01 20:08:09+00:00,"Pussy Riot’s Maria Alekhina, who participated in our production “Burning Doors” is facing a 2 year jail sentence over showing support for pro-Navalny protests in social media. Currently she under house arrest until 23rd of March. #Russia https://t.co/bEbU4i2mbm"
10,2021-02-01 20:06:33+00:00,"Isn't it extraordinary how our lovely #Media in #Europe &amp; #US consistently gripe about #Putin being #President of #Russia for so long - a total of 18 years since 1998 yet they never mention that #Merkel has been #GermanChancellor for 16 years from 2005 'til now!
#Hypocrisy"
11,2021-02-01 20:00:25+00:00,"DEFCON Warning System - Update 2/1/21 - https://t.co/Ckt2rE4zv8

#China #NorthKorea #Iran #Japan #UnitedStates #Russia #nucleardeal https://t.co/qpK0OKLJ9F"
12,2021-02-01 19:33:02+00:00,The continued price #Ukraine pays because #RussiaInvadedUkraine. Because the world continues to turn an appeasement blind eye to Putin's slaughter. #Donbas https://t.co/7JMjsLFIWT
13,2021-02-01 19:25:42+00:00,"Before we can even begin to consider our relationship with other nations, it's clear America has a lot to resolve internally... 

#Trump #Biden #Peace #America #UnitedStatesofAmerica #USA #UnitedStates #AmericaFirst #AmericaLast #China #Venezuela #Russia https://t.co/SAsA9cddlF"
14,2021-02-01 18:52:38+00:00,"Listen to 'Deadline D.C. with @BradBannon' today from 3-4pm ET on @NRMStreamcast.
Col. @CedricLeighton (USAF-Ret) discusses #Russia #protests &amp; #Capitol #insurrection.
Then, @REALTaraDevlin &amp; @MarkJGrimaldi analyze whether #impeachment &amp; #unity can coexist
https://t.co/Y0fQvtXLU2"
15,2021-02-01 18:49:54+00:00,"Dmitry #Medvedev: Quick threat evaluation, preparedness and effectiveness of Russian healthcare system has allowed #Russia to efficiently fight #Covid19. https://t.co/CnhKnSLE05"
16,2021-02-01 18:44:50+00:00,"Not only is #Russia failing to uphold the right to truth owed to the victims, families and the larger society, they are attempting to prevent legitimate research and to re-write the history books to play down the true extent of the crimes committed during the Great Purge https://t.co/NeRSe5BQtH"
17,2021-02-01 18:05:28+00:00,"“The thing is that we have no right to sell the controlling stake of shares of #Ukraine’s strategic-scale defense enterprises to any country.” 

Here are the highlights from President Volodymyr Zelensky’s Jan. 23 interview with HBO’s @axios program https://t.co/zuIkMSHnzl"
18,2021-02-01 18:03:24+00:00,"#RussianProtests for @NewBooksNetwork and @NewBooksRussia, I got to interview Fabrizio Fenghi (Brown U) on performance politics &amp; the aesthetics of protest today. ""It Will Be Fun and Terrifying: Nationalism and Protest in Post-Soviet #Russia"" (@UWiscPress, 2020) is coming soon! https://t.co/zS2DFcDR1O"
19,2021-02-01 17:57:22+00:00,"If Alexei Navalny is sentenced to a prison term next Monday it'll inevitably fuel outrage among people in #Russia who are exhausted by a cornucopia of injustice, corruption and inequality aggravated by plummeting economy during the #COVID19 pandemic. @hrw  https://t.co/vRwF7mxa8D"
20,2021-02-01 17:31:06+00:00,#Russia: Navalny prosecutors seek three-and-a-half-year jail term https://t.co/bagu10JXQs
21,2021-02-01 17:15:50+00:00,"Continued obstruction &amp; detention of media workers covering protests in #Russia is deeply concerning. Such restrictive practices should stop, to allow journalists to cover any public event, whether authorized or not, for the sake of society’s right to know https://t.co/n053Z9qlBS"
22,2021-02-01 17:04:23+00:00,"GOLDEN AGE FOR RUSSIA | Before Putin the country was lying on the floor like a comatose drunk, legs akimbo, like the previous incumbent, but although George wouldn’t vote for him he recognises how the Russian president has restored the country. #MOATS #Putin #Russia #Navalny https://t.co/uWLUysfKLj"
23,2021-02-01 17:04:20+00:00,"GOLDEN AGE FOR RUSSIA | Before Putin the country was lying on the floor like a comatose drunk, legs akimbo, like the previous incumbent, but although George wouldn’t vote for him he recognises how the Russian president has restored the country. #MOATS #Putin #Russia #Navalny https://t.co/7MrruHxV2X"
24,2021-02-01 17:01:50+00:00,"#Russia is ready for #AeroIndia2021➡️ https://t.co/WzxOa49TuW

Russia’s joint display, located in pavilion A of the @AeroIndiashow, will incorporate exhibits of Rosoboronexport, JSC Shvabe and JSC Almaz-Antey Corporation. https://t.co/EBSDjfO4ya"
25,2021-02-01 16:54:00+00:00,"On #Russia:

""Russia, primarily through its intelligence services, is engaged in a strategic campaign to destabilize and isolate the United States, as well as allied and otherwise friendly countries."" Subscribe and read at https://t.co/6vS21JDtoT"
26,2021-02-01 16:20:01+00:00,We urge @mbachelet and @UN_HRC Special Procedures to asses in an unbiased &amp; principled manner the recent decision of Writer's Union of Ukraine 🇺🇦 to restrict ❌ publication of foreign writers from countries which voted against #UNGA resolutions on #Ukraine. https://t.co/6lQtLNp9sU
27,2021-02-01 15:47:21+00:00,There's urgent need to develop dialogue w/ #Russia in the #Arctic however the concern w/ allowing them back into Arctic CHODs/ASFR is a concession in exchange for nothing since Russia was kicked out after Crimea annexation &amp; there's been no improvement. https://t.co/2l9muYCLe7
28,2021-02-01 15:24:45+00:00,"By silencing HRD #YuriAlexeecich, #Russia is preventing millions of family members from finding answers on what happened to their loved ones

@MadelineRoache https://t.co/v4OiTnZwYy"
29,2021-02-01 15:23:57+00:00,"#Russia #PositiveVibes #31января Russians are under represented, you fuckers are stealing the spotlight! #BlackHistoryMonth Russia is Superior 🇷🇺 https://t.co/M7dMBGUB0r"
