,Date,tweet
0,2021-07-01 20:30:56+00:00,"#Zelensky in 2014 *after* #Ukraine declared bloody war on #Donbass:

""Ukraine and Russia are brotherly people, we have same colour, same blood""

2021 Zelensky to Putin: ""Russians and Ukrainians are not one people""

https://t.co/GMd3UURLI5 https://t.co/ry3GZCUgSE https://t.co/Vn8IPUEU0V"
1,2021-07-01 16:45:32+00:00,CEO of @hackenclub @buda_kyiv just mentioned in the most recent #AMA that will $HAI might be legal tender in #ukraine soon. https://t.co/nlOUFT8D1d
2,2021-07-01 16:11:25+00:00,"Pundit on #Russia's state TV said about the US: “It’s time to move on to more active measures... Do you want me to spell it out?”

RT's editor-in-chief Margarita Simonyan quickly stopped her fellow propagandist from divulging too much. “No need,” she said.
https://t.co/9NWdnSkcVC"
3,2021-07-01 15:19:34+00:00,"#Russia's state TV complains about ""persecution of Trump's followers"" for ""simply expressing their disagreement with the outcome of the election."" 

If Russian protesters stormed the Kremlin, objecting to Putin's election, they wouldn't be persecuted or prosecuted. They'd be DOA. https://t.co/FRogyWrsst"
4,2021-07-01 13:49:34+00:00,"💬#Zakharova: On June 21, the French Senate held a seminar on #Ukraine.

Participants spoke, with concern, on the country’s engrained tendency to glorify Nazi criminals and collaborators, the rise of anti-Semitism and especially the extensive campaign lauding the Schutzstaffel ☝️ https://t.co/ThRX7bkhfX"
5,2021-07-01 10:23:22+00:00,"🇷🇺 President Vladimir #Putin says he has been immunized with #Russia’s #SputnikV #COVID19 vaccine.

💬 “I chose to be vaccinated with Sputnik V, especially considering that the military are getting vaccinated with Sputnik V, and I am their Supreme Commander, after all.” https://t.co/Y129CIRJQE"
6,2021-07-01 10:17:27+00:00,"#Ukraine vs #England-Who's scoring first? Could be a £20 voucher OF YOUR CHOICE for the right answer. 
TO ENTER: 
Follow us
Retweet this post❤️
Reply with your answer💪⚽️
UK entries only. One entry per person. Ends: after the match on Saturday! Good luck!🤞#euro2020 #prize #win"
7,2021-07-01 08:56:54+00:00,"President #Putin: Whatever sanctions are introduced against #Russia, it keeps developing. Russia’s economic sovereignty is strengthening, defence capabilities reached a very high level – some of its key parameters surpassed those of many counties of the world, including the US https://t.co/FGWm15IlIO"
8,2021-06-30 22:03:15+00:00,Awesome result for my friend @jksheva7 Congrats mate #Ukraine !!! Now it’s  time to hammer those poms Saturday night hahahaha 👏🏻👏🏻👏🏻 https://t.co/0gpyL09HPZ
9,2021-06-30 20:26:39+00:00,"🎙President Vladimir #Putin:

💬Why is #Ukraine not listed among unfriendly countries? This is because I do not regard Ukraine as a country unfriendly towards #Russia. I have noted many times, and can repeat once again: in my opinion, Ukrainians and Russians are a single people. https://t.co/Rq5pDgt9gn"
10,2021-06-30 19:57:03+00:00,"#Putin today said ""I believe Ukrainians &amp; Russians are one people. I am going to write special analytical article, and hope people in #Russia as well as in #Ukraine will get familiar with it.""

Will he analyze illegal seizure of Crimea or conflict Kremlin provoked in Donbas? 🤔 https://t.co/kPi6tk7uOh"
11,2021-06-30 19:22:07+00:00,"Meanwhile on #Russia's state TV: Putin, Putin and more Putin. https://t.co/a57pAU3VfD"
12,2021-06-30 14:58:25+00:00,"Ambassador Andrei #Kelin to @Telegraph: UK exploits idea of 🇷🇺military ships ""regularly visiting British waters"", creating impression of frequent violations of 🇬🇧sovereignty by #Russia. Yet there were NO violations of #UK territorial waters/air above it.
📰https://t.co/HPNVGmP5di https://t.co/bxOfENWIxd"
13,2021-06-30 10:49:52+00:00,"Meet the #ancestors: 🏴󠁧󠁢󠁥󠁮󠁧󠁿#England v 🇺🇦#Ukraine in #Euros2021. #Cousin playing Cousin.                           50% of Britons' #DNA comes from the ancient Ukrainian Yamnaya Culture (#Nature:  https://t.co/6d4H4qsjON) &amp; Science: https://t.co/cBj8pul48c
#Euro2021 #football #ENGGER"
14,2021-06-30 08:10:16+00:00,"congratulations to my Ukrainian friends! As a #Sweden supporter this loss was painful but as a long-time observer &amp; friend of #Ukraine, it is a loss I can take. Now, please win on sat! #SWEUKR"
15,2021-06-30 01:54:09+00:00,When did the #GQP become so anti-#American and worship #Putin and  #Russia? They are Traitors to #America!!
16,2021-06-29 21:48:15+00:00,"No matter what #EthiopiaPrevails
No matter what #EritreaPrevails
Now is the time for the two proud sovereign nations to celebrate victories and commence a new journey to ensure peace, devt &amp; prosperity! 
Thank You #Russia #China @uaegov &amp;  friends! #Ethiopian #Eritrean #ENDF #EDF https://t.co/j7IxN9PVfD"
17,2021-06-29 21:44:16+00:00,Hmm... Now who to support on Saturday? #ENG V #Ukraine #Euros2021 https://t.co/247IHlDFFs
18,2021-06-29 18:51:57+00:00,"From #Russia's point of view sinking a British ship might well be the best solution next time. Because once it happens, it will be impossible to conceal from the western public opinion that its “leaders” are reckless, incompetant, delusional and dangerous
https://t.co/3SPZrmjR3h"
19,2021-06-29 15:33:46+00:00,"The US govt. already shapes news coverage of #Russia, now it doesn't even want Americans to visit! Twain said ""Travel is fatal to prejudice."" Maybe that's why it's considered dangerous: people shouldn't travel because what they see might contradict what leaders &amp; press tell them. https://t.co/PVY8dusc81"
20,2021-06-29 14:59:00+00:00,"#China-#Russia cooperation driving force of new era
https://t.co/RZbQ4h7LM2"
21,2021-06-29 13:30:41+00:00,"Inspiration 🔥🔥 @TeamKhabib 

 #womensmma #girlfighter #india #russia #mma #combatsports https://t.co/1umWW00fga"
22,2021-06-29 13:16:32+00:00,Getting ready to enjoy the 🇺🇦 🇸🇪 game in 🏴󠁧󠁢󠁳󠁣󠁴󠁿 this eve #GoUkraine (and good luck @TobiasThyberg 😊) #Ukraine #Euro2021 https://t.co/x1efOJ10NL
23,2021-06-29 11:47:05+00:00,"As #Belarus ends partnership with #EU, Minsk plans to merge tax system with #Russia &amp; establish common markets for energy and transport. 
https://t.co/wxznxDUmjC"
24,2021-06-29 09:57:11+00:00,I’ve seen a lot of Taras Shevchenko statues in #Ukraine. This one is definitely the most…experimental version I’ve encountered https://t.co/qCjjh4s8Ix
25,2021-06-29 09:35:46+00:00,"Excellent meeting with my colleague @HelgaSchmid_SG in beautiful #Hofburg. Many important topics were on the agenda – such as #Ukraine, the #Nagorno-Karabach conflict and other security challenges. #OSCE2021SWE https://t.co/gJqgdfdW0s"
26,2021-06-29 08:53:59+00:00,"Under the strategic guidance of President Xi Jinping and Russian President Vladimir Putin, #China-#Russia ties have entered the best period in history with solid political mutual trust and mutual benefits, FM spokesperson Wang Wenbin said on Tuesday. https://t.co/uvg7zMFxzL https://t.co/0dLydqeyrv"
27,2021-06-29 07:41:34+00:00,"Hmm, interesting framing here. Now who looks like the junior partner as Xi, and Putin announce the extension of the #China-#Russia friendly cooperation treaty?🤔 https://t.co/naaW2oaqcH"
28,2021-06-29 02:00:05+00:00,Min Aung Hlaing returns from #Russia | Mizzima #Myanmar News and Insight https://t.co/OJ1OVcb9zj https://t.co/Hxf2zJpARA
29,2021-06-29 00:17:35+00:00,"President Xi and President Putin announce the extension of the #China-#Russia Treaty of Good-Neighborliness and Friendly Cooperation.
https://t.co/ATd9IDLwP6"
