,Date,tweet
0,2021-10-01 19:51:41+00:00,"Cпаси́бо, Mikhail Murashko, #Russia Health Minister, for your visit and constructive meeting about the new @WHO initiatives such as: #WHOAcademy, BioHub, and Hub for Pandemic and Epidemic Intelligence in Berlin, as well the WHO Emergency Use Listing process for #COVID19 vaccines. https://t.co/sC1JLqSZuR"
1,2021-09-30 21:32:49+00:00,"#Russia's state TV is bashing Fiona Hill and her article (see below). So be sure you read it.

https://t.co/OzIHy3Z1dv https://t.co/v8YxliowpN"
2,2021-09-30 16:00:27+00:00,"🇷🇺🤝🇸🇾 #OTD in 2015 #Russia joined the fight against terrorists in #Syria at the official request of Damascus. 

In the 6 years since much has been accomplished: #ISIS  defeated, nearly all of Syrian territory liberated, people of Syria have largely returned to peaceful life 🕊 https://t.co/T1H1atXKit"
3,2021-09-30 13:27:36+00:00,"💬#Zaytsev: We are seriously concerned about Kiev’s policy.

❗️We urge the #US &amp; the #EU to turn their attention to the years-long humiliation &amp; extermination by Kiev of its own people and to demand that #Ukraine stop the war in #Donbass and large-scale human rights violations https://t.co/2KaFZxKMRB"
4,2021-09-30 12:36:12+00:00,"Europe Asking #Russia for More Coal Is Set for Disappointment. 
Moscow can only marginally increase sales at short notice as it usually ships most of its coal to Asia. 
https://t.co/3rMauR1sn6"
5,2021-09-30 10:38:24+00:00,"#OTD in 2015,6⃣years ago, #Russia joined the fight vs terrorists in #Syria under official request of Damascus. The true anti-terrorist coalition defeated ISIS, helped free nearly all territory of #Syria. Now it's time to focus on rebuilding the country, bringing back the refugees https://t.co/esh6dANWBL"
6,2021-09-30 10:09:43+00:00,"Turkish President #Erdogan has said Ankara has decided to work with #Russia to jointly produce jet engines, warships and submarines, during a meeting with his Russian counterpart Vladimir Putin.
https://t.co/Fp1ZS4eb4m"
7,2021-09-30 04:35:00+00:00,".@IrrawaddyNews profiles arms dealer + #Ukraine honorary consul to #Myanmar, a new crony on the block: ""U Aung Hlaing Oo has personal ties with Lt Gen Nyo Saw, who retired as the chairman of Myanmar Economic Corporation"". @DmytroKuleba @Andriy_Beshta https://t.co/Gn3Pvam1R2"
8,2021-09-29 21:17:12+00:00,"Today we remember what cannot be forgotten or forgiven.
80 yrs ago, the 2-day #BabiYar massacre began. 
33,771 Jewish men, women &amp; children were murdered on Sept 29 &amp; 30, 1941.
Between 1941 &amp; 1944, 1.5 million Jews were murdered in #Ukraine
#ShoahbyBullets
https://t.co/YsJYDzx56l"
9,2021-09-29 10:31:09+00:00,"❗️ @YouTube committed an act of unprecedented information aggression against @RT_com’s German-language projects with #Germany’s tacit consent.

☝️We asked #Russia’s competent agencies to adopt retaliatory measures regarding #YouTube &amp; the German media.

🔗 https://t.co/QcHFgU9QMi https://t.co/jk41dKIkVZ"
10,2021-09-29 09:25:09+00:00,"#China's #NationalDay is on the way. 
Reminds us of the precious gift from #Russia. The color of our time-honored friendship never fades. https://t.co/kZgqYVYqN1 https://t.co/h2IoMA5MjS"
11,2021-09-29 08:28:34+00:00,"Breaking! #YouTube could face total BAN in #Russia if tech giant doesn’t unblock RT’s German-language channels, Moscow’s media regulator warns. 
https://t.co/0Xzmsk5Bx7"
12,2021-09-28 21:05:17+00:00,"#Russia is pretty upset over YouTube's removal of two RT channels for spreading COVID disinformation. 

Indeed, it is a powerful tool that enabled the Kremlin to spread in the West everything it doesn't want at home (anti-vax hysteria, protests against masks and vaccines, etc.) https://t.co/qNgjrGvmIk"
13,2021-09-28 20:43:38+00:00,Can see why #Ukraine is questioning #Hungary's decision to import gas from #Russia via South Stream instead through Ukraine -- sure looks like longer shipping and possibly more expensive route. https://t.co/0UgMEbLZ7A https://t.co/PKmaY9AnpK
14,2021-09-28 19:28:37+00:00,Meanwhile in #Russia's state media: https://t.co/y0iaGBT6Nr
15,2021-09-27 22:47:40+00:00,"#Trump #45 is using classic Russian style information/ propaganda to influence the American People. Tell lies to people who want to believe the lie , repeat that message In media and social media. Information Operations is a weapon extensively used by #putin #russia to influence https://t.co/g5HtysgPgL"
16,2021-09-27 19:11:05+00:00,"U.S. attempts to negotiate air basing options in Central Asia (for #Afghanistan ""over the horizon CT) have failed, so the #Biden NSC is now looking at whether #Russia might facilitate use of its allied bases in Tajikistan and Kyrgyzstan.

😲

https://t.co/nH0At8JCPM https://t.co/5dFtbRNGrH"
17,2021-09-27 18:18:02+00:00,"#Hungary signed a new long-term contract with #Russia’s energy giant Gazprom for gas supplies bypassing #Ukraine. 
The agreement was sealed by Gazprom CEO Aleksey Miller and Hungarian energy group MVM executives at the Hungarian Foreign Ministry.
https://t.co/Wa665WUejm"
18,2021-09-27 17:00:19+00:00,A bit of punditry this weekend on the #RussianGP for @C4F1 . Over 2 million of you tuned in to watch THAT race yesterday 🏁 Cheers @redbullracing for your hospitality and @Channel4 for having me 😎 #f1 #Russia https://t.co/SpqSmPY7N1
19,2021-09-27 15:44:48+00:00,"#Turkey will side with #Russia and #Iran against the US, kick out US troops from Syria, says Turkish President 's security/foreign policy advisor Mesut Hakki Casin on a national network. https://t.co/AlWKC3QUjX"
20,2021-09-27 11:59:10+00:00,"New Challenge...🇺🇦
#lviv #Ukraine #Karpaty #Halych https://t.co/axRna4R22n"
21,2021-09-27 11:10:22+00:00,"The self-proclaimed President of #Belarus, Alexander Lukashenko, says he has agreed with #Russia's Vladimir Putin to ""take some action"" on the Ukrainian border. He stated that #US bases are being set up in #Ukraine, the website of the President of Belarus reads. https://t.co/lNQI3VaIdf"
22,2021-09-27 02:19:23+00:00,"European Union foreign policy chief @JosepBorrellF told to #Russia/n foreign minister ""stay away from our #Africa"". Mr. Joseph, #Africa isn't yours. Africa is for Africans. #StayAwayFromAfricaJosep https://t.co/F2fuv2hl22"
23,2021-09-26 20:02:12+00:00,"#1 crypto community 😎
#HODL 💎🖐🏻 

 #ShibaArmy #shibainu #shiba #shib #Shibswap #SHIBARMY #shibcoin #ShibToken #IamRyoshi #shibarium #Asia #Africa #altcoins #Arab #BTC  #China #COVID19 #ElonMusk #Europe #Russia #Crypto #doge #ecosystem #HODL #HOLDERS #India #USA https://t.co/sgbZHxWWne"
24,2021-09-26 13:57:13+00:00,"Magnificent race by @lewishamilton. We ran out of superlatives long before he got to this place and a record 100th victory. There's a good reason why he  keeps appearing in P1. Pure, outrageous, talent allied to utter dedication.  #stillIrise  #russia"
