,Date,tweet
0,2021-04-01 23:50:43+00:00,Interesting detail #Ukraine https://t.co/eMOepWwjxw
1,2021-04-01 23:46:21+00:00,"#Russia warned that a serious escalation in the conflict in Donbass could ""destroy"" #Ukraine.

https://t.co/3W8cL7Ciqs"
2,2021-04-01 23:32:02+00:00,"@wmiddelkoop #Ukraine spring offensive, 90.000 troops, 450 tanks and 150 airplanes to the Donjesk, Luhansk border. Russian fleet in the Baltic, Black sea and Eastern Medituranian on allert. NATO involvement suspected. Russian tanks crossed the border to help separatists."
3,2021-04-01 22:38:28+00:00,"#Indonesia Club Persatuan Sepakbola Lamongan or commonly known as Persela FC has announced that #Uganda player Melvyn LORENZEN has joined them. 

✍️ Melvyn has been without a club since he left FC Karpaty Lviv in #Ukraine in 2019. 

Congratulations Melvyn 💪 https://t.co/2HOeZs6Qvh"
4,2021-04-01 22:34:01+00:00,Kind of puts things into regional perspective... #Armenia #Azerbaijan #Georgia #Iran #Turkey #Russia #NKpeace https://t.co/irszLjFM7s
5,2021-04-01 22:33:54+00:00,"#Russia Massing Troops on #Ukraine Border. 

""potential imminent crisis"".

📂 https://t.co/txjB9BBfep https://t.co/AImjAasrGr"
6,2021-04-01 22:25:03+00:00,"I'm not the only one with #Ukraine in my scan,  @ClaireBerlinski is tracking. too. https://t.co/wS1l7TmM7J"
7,2021-04-01 21:58:54+00:00,"Another video suggesting Russian #military buildup potentially aimed at #Ukraine. This was filmed in #Russia|n-occupied #Crimea, on 1 April:

 https://t.co/aVVLJ3aamt"
8,2021-04-01 21:56:36+00:00,"#BREAKING #BreakingNews
#Russia Is Allegedly Transporting #MilitaryVehicles And Equipment To Their #Border.

#BidenAdministration=#WAR

#Ukraine https://t.co/vaHptWB7Wa"
9,2021-04-01 21:55:43+00:00,"Another video suggesting Russian #military buildup next to borders of #Ukraine. This was filmed in #Voronezh region, south #Russia, on 31 March:

 https://t.co/67ch728T5O"
10,2021-04-01 21:50:15+00:00,"Another video suggesting Russian #military buildup next to borders of #Ukraine. This was filmed in #Rostov region, south #Russia, on 1 April: 

 https://t.co/fZlYTdbU9G"
11,2021-04-01 21:44:44+00:00,"Syria - #Russia campaign against US-backed terrorism in central #Syria, March 2021, from South Front. #ISIS #DAESH https://t.co/ERU93YnlBr"
12,2021-04-01 21:40:00+00:00,#Ukraine's military intelligence agency declares that #Russia is completing preparations for a set of measures aimed at provoking Ukraine into a military response.
13,2021-04-01 21:39:29+00:00,"US #Biden regime allocated $2+ billion to #Ukraine for its proxy war against Russia

They will fight Russia to the last Ukrainian....

#Donbass https://t.co/BOEDMbUf0g https://t.co/JvIfPa9klT"
14,2021-04-01 21:38:55+00:00,"At times like these, I always remember something @Kasparov63 told me in an interview some years back: “Dictators never ask ‘Why?’ only ‘Why not?’” 

The Biden administration has to give a firm answer to Putin as to why he should not escalate the war in #Ukraine. https://t.co/KpgCh13Yv3"
15,2021-04-01 21:33:30+00:00,"''Russia may try to go for an incursion and deploy its troops deeper into the territory of Ukraine'' #Ukraine's military intelligence agency, GUR MO, has reported."
16,2021-04-01 21:27:54+00:00,"The #CIA set up a task force to hunt down who's behind the microwave attacks against 40 US govt. officials across multiple agencies who were victims of these debilitating invisible attacks in #Russia, #Cuba, and #China. https://t.co/Z7vJafSRyA"
17,2021-04-01 21:27:25+00:00,"Now you know who exactly orders military escalation in #Ukraine #Zelensky on the #Donbass frontline: 

US, Uk and Canada https://t.co/0X2eGhwaXO https://t.co/BSXA5zK2dW"
18,2021-04-01 20:43:01+00:00,"⭕️🇷🇺🇺🇦The previous tweet about the situation in eastern #Ukraine is confirmed ⬇️
👉“#Donetsk People's Republic proclamation calling for enlistment of all men born between the year of 1994 and 2003 until July 15th, 2021. (Via @IntelDoge) https://t.co/77OXN2uq1R"
19,2021-04-01 20:41:01+00:00,"#Russia forces may try to advance deeper into #Ukraine – military intel
#GURMO #hybridwar #RussianAggresion #Donbas #Crimea
https://t.co/kSFR5tQjJi https://t.co/6Fzf6pOPa0"
