,Date,tweet
0,2022-06-01 22:10:43+00:00,"Democrats one month ago: “Give your money to Ukraine! They need guns!”

Democrats today: “None of you American peasants may own a gun.”"
1,2022-06-01 22:07:09+00:00,"Ukraine is destined to be one of Europe’s strongest militaries, NATO’s eastern shield and a counterbalance to imperialist and revanchist Russia.
So as early as now, we should be thinking about long-term solutions such as the MIM-104 Patriot and many other advanced systems."
2,2022-06-01 21:51:43+00:00,BREAKING: Ireland's Senate passes a resolution recognizing Russia's war crimes in Ukraine as a genocide
3,2022-06-01 21:40:22+00:00,"Congratulations to Ukraine 🇺🇦

We were opponents for 90 minutes on the pitch tonight, but continue to stand in solidarity with you now.

#SCOUKR https://t.co/DvTMtVLIsx"
4,2022-06-01 21:32:17+00:00,"Republicans, owned by Trump, have done a decent job muddying up the clear fact that Trump, a future and incumbent President, conspired with a hostile foreign power, Russia, to sabotage an American election. And he did it twice."
5,2022-06-01 21:11:28+00:00,"Gutted for @ScotlandNT and proud of the team as always - but if we had to lose to anyone, I’m glad it was Ukraine. It was obvious how much it meant to the team and supporters 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦 https://t.co/76hEZCYNKn"
6,2022-06-01 21:03:01+00:00,BREAKING: Russia just reportedly launched a cruise missile strike on a railway tunnel outside Lviv that NATO was using as a supply route
7,2022-06-01 20:40:39+00:00,"FULL TIME: Scotland 1-3 Ukraine.

Callum McGregor's goal late in the second half was not enough for Scotland, as Ukraine win at Hampden Park.

#SCOUKR https://t.co/xw6EjUunKR"
8,2022-06-01 20:30:18+00:00,"Putin plans to continue his invasion of Ukraine until he has occupied and then annexed all of ""Novorossiya."" And then he will seek a  trade  -- ""peace"" for ""land.""  Hoping he fails."
9,2022-06-01 20:26:57+00:00,"Israel blocks Germany sending Spike anti-tank missiles to Ukraine. It previously blocked the transfer of the Iron Dome missile defence system to Ukraine.

Switzerland blocks Germany shipping air defence ammunition and blocks Denmark sending armoured fighting vehicles to Ukraine."
10,2022-06-01 20:11:55+00:00,"Trump is threatening to sue the Pulitzer Prize Board unless they rescind the prizes they awarded to reporters who reported on his collusion with Russia. 
No one can nurse a bogus grudge like a malignant narcissist."
11,2022-06-01 19:51:51+00:00,"Last 1,5 hours we have air raid alert all over Ukraine
One of my ex-colleagues is in Armed Forces of Ukraine, he's in a very dangerous region of our country last 3 weeks
He writes me every day
I feel helpless
russia is state-terrorist
It seems the world got used to this war
😕😕"
